,REGION,YEAR,WEEK,TOTAL CASES
559,Maine,2010,50,2.0
560,Maryland,2010,50,17.0
561,Massachusetts,2010,50,6.0
562,Michigan,2010,50,4.0
563,Minnesota,2010,50,9.0
564,Mississippi,2010,50,0.0
565,Missouri,2010,50,19.0
566,Montana,2010,50,10.0
567,Nebraska,2010,50,2.0
568,Nevada,2010,50,6.0
569,New Hampshire,2010,50,0.0
570,New Jersey,2010,50,0.0
571,New Mexico,2010,50,6.0
572,New York,2010,50,74.0
573,North Carolina,2010,50,2.0
574,North Dakota,2010,50,1.0
575,Ohio,2010,50,0.0
576,Oklahoma,2010,50,3.0
577,Oregon,2010,50,1.0
578,Pennsylvania,2010,50,57.0
579,Rhode Island,2010,50,0.0
580,South Carolina,2010,50,7.0
581,South Dakota,2010,50,6.0
582,Tennessee,2010,50,12.0
583,Texas,2010,50,145.0
584,Utah,2010,50,165.0
585,Vermont,2010,50,0.0
586,Virginia,2010,50,3.0
587,Washington,2010,50,5.0
588,West Virginia,2010,50,8.0
589,Wisconsin,2010,50,10.0
590,Wyoming,2010,50,3.0
591,Puerto Rico,2010,50,0.0
592,Virgin Islands,2010,50,0.0
593,New York City,2010,50,0.0
594,Alabama,2010,51,48.0
595,Alaska,2010,51,3.0
596,Arizona,2010,51,114.0
597,Arkansas,2010,51,7.0
598,California,2010,51,34.0
599,Colorado,2010,51,37.0
600,Connecticut,2010,51,45.0
601,Delaware,2010,51,13.0
602,District of Columbia,2010,51,2.0
603,Florida,2010,51,0.0
604,Georgia,2010,51,301.0
605,Hawaii,2010,51,32.0
606,Idaho,2010,51,0.0
607,Illinois,2010,51,39.0
608,Indiana,2010,51,29.0
609,Iowa,2010,51,22.0
610,Kansas,2010,51,5.0
611,Kentucky,2010,51,17.0
612,Louisiana,2010,51,101.0
613,Maine,2010,51,3.0
614,Maryland,2010,51,27.0
615,Massachusetts,2010,51,0.0
616,Michigan,2010,51,4.0
617,Minnesota,2010,51,21.0
618,Mississippi,2010,51,0.0
619,Missouri,2010,51,22.0
620,Montana,2010,51,11.0
621,Nebraska,2010,51,6.0
622,Nevada,2010,51,8.0
623,New Hampshire,2010,51,1.0
624,New Jersey,2010,51,0.0
625,New Mexico,2010,51,3.0
626,New York,2010,51,138.0
627,North Carolina,2010,51,7.0
628,North Dakota,2010,51,2.0
629,Ohio,2010,51,2.0
630,Oklahoma,2010,51,29.0
631,Oregon,2010,51,2.0
632,Pennsylvania,2010,51,89.0
633,Rhode Island,2010,51,0.0
634,South Carolina,2010,51,14.0
635,South Dakota,2010,51,11.0
636,Tennessee,2010,51,15.0
637,Texas,2010,51,202.0
638,Utah,2010,51,264.0
639,Vermont,2010,51,0.0
640,Virginia,2010,51,6.0
641,Washington,2010,51,12.0
642,West Virginia,2010,51,1.0
643,Wisconsin,2010,51,17.0
